業務人員,,下單客戶,,接單類別,類別名稱,訂單號碼,客戶訂單號碼,接單日,生管交期,訂單交期,訂單金額,未出貨金額,幣別,訂單重量(KG),出貨重量(KG),未出貨重量(KG),結案否,出貨達成率
SP000000,鴻錡興業,D04001,SIMPSON AB,S,小螺絲,24100026,4500338958,2024/10/28,2025/1/20,2025/2/3,"5,914.40",0.00,USD,"2,196.80","2,163.00",0.00,Y,100%
SP000671,顏劭仲,B03500,SUNCO,S,小螺絲,24100025,SP20241028-007,2024/10/28,2025/2/20,2025/2/27,"18,790.94",0.00,USD,"5,504.64","5,675.94",0.00,Y,100%
SP000671,顏劭仲,B03500,SUNCO,S,小螺絲,25020001,SP20250127-001KK,2025/2/3,2025/7/11,2025/7/25,"82,720.00","82,720.00",USD,"25,120.00",0.00,"25,120.00",N,
SP000671,顏劭仲,B03500,SUNCO,S,小螺絲,25020027,SP20250219-002KK,2025/2/21,2025/5/29,2025/6/13,"4,336.00","4,336.00",USD,"1,208.00",0.00,"1,208.00",N,
SP000671,顏劭仲,B03500,SUNCO,S,小螺絲,25020035,SP20250227-005KK,2025/2/27,2025/5/29,2025/6/13,"1,084.00","1,084.00",USD,302.00,0.00,302.00,N,
SP000671,顏劭仲,B03500,SUNCO,S,小螺絲,25030019,SP20250318-006KK,2025/3/18,2025/6/20,2025/7/4,"5,484.00","5,484.00",USD,"1,452.00",0.00,"1,452.00",N,
SP000671,顏劭仲,C00600,PGB,S,小螺絲,24110031,4500062042,2024/11/20,2025/3/20,2025/3/27,"5,346.76","5,346.76",EUR,"2,727.20",0.00,"2,727.20",N,
SP000671,顏劭仲,C00600,PGB,S,小螺絲,24110031,4500062042,2024/11/20,2025/3/7,2025/3/14,"2,238.70","2,238.70",EUR,943.90,0.00,943.90,N,
SP000671,顏劭仲,C00600,PGB,S,小螺絲,24110031,4500062042,2024/11/20,2025/3/20,2025/3/27,"26,167.34",0.00,EUR,"12,941.72","13,191.82",0.00,Y,100%
SP000671,顏劭仲,C00600,PGB,W,華司,24110031,4500062042,2024/11/20,2025/3/7,2025/3/14,"1,611.00",0.00,EUR,410.00,478.22,0.00,Y,100%
SP000671,顏劭仲,C00600,PGB,S,小螺絲,24110031,4500062042,2024/11/20,2025/3/7,2025/3/14,"59,376.52",0.00,EUR,"29,737.98","30,301.77",0.00,Y,100%
SP000671,顏劭仲,C00600,PGB,S,小螺絲,25010003,4500063052,2025/1/8,2025/4/15,2025/4/29,"139,819.22","139,819.22",EUR,"77,442.73",0.00,"77,442.73",N,
SP000671,顏劭仲,C00600,PGB,S,小螺絲,25010003,4500063052,2025/1/8,2025/4/15,2025/4/29,"3,960.00",0.00,EUR,"2,355.84","2,376.78",0.00,Y,100%
SP000671,顏劭仲,C00600,PGB,S,小螺絲,25020006,4500063491,2025/2/3,2025/4/25,2025/5/9,"17,588.63","17,588.63",EUR,"9,924.52",0.00,"9,924.52",N,
SP000671,顏劭仲,C00600,PGB,S,小螺絲,25020006,4500063491,2025/2/3,2025/5/10,2025/5/24,"6,293.00","6,293.00",EUR,"3,165.00",0.00,"3,165.00",N,
SP000671,顏劭仲,C00600,PGB,S,小螺絲,25020025,4500064190,2025/2/20,2025/5/20,2025/5/28,"19,595.29","19,595.29",EUR,"10,060.99",0.00,"10,060.99",N,
SP000671,顏劭仲,C00600,PGB,S,小螺絲,25040012,4500065591,2025/4/11,2025/7/4,2025/7/18,"2,350.08","2,350.08",EUR,"1,209.60",0.00,"1,209.60",N,
SP000671,顏劭仲,C01900,REYHER,S,小螺絲,24070007,3841753-457,2024/7/9,2024/12/27,2025/1/24,"7,615.00",0.00,EUR,"4,166.00","4,323.10",0.00,Y,100%
SP000671,顏劭仲,C01900,REYHER,S,小螺絲,24100003,3864311-457,2024/10/11,2025/2/24,2025/3/26,"6,550.00",0.00,EUR,"3,723.00","3,899.39",0.00,Y,100%
SP000671,顏劭仲,C01900,REYHER,S,小螺絲,24100021,3867707-457,2024/10/25,2025/7/10,2025/8/7,"41,030.08","41,030.08",EUR,"21,604.20",0.00,"21,604.20",N,
SP000671,顏劭仲,C01900,REYHER,S,小螺絲,24120019,3881239-669,2024/12/19,2025/3/7,2025/4/3,210.00,0.00,EUR,93.00,100.80,0.00,Y,100%
SP000671,顏劭仲,C01900,REYHER,S,小螺絲,25020013,4500005468,2025/2/4,2025/4/25,2025/5/23,"2,479.00","2,479.00",EUR,951.30,0.00,951.30,N,
SP000671,顏劭仲,C01900,REYHER,S,小螺絲,25040010,4500020446,2025/4/9,2025/6/27,2025/7/11,"75,221.56","75,221.56",EUR,"37,328.92",0.00,"37,328.92",N,
SP000671,顏劭仲,C03200,STALCO,S,小螺絲,25020023,C032-25022001,2025/2/20,2025/5/20,2025/5/29,"40,108.49","40,108.49",USD,"20,520.40",0.00,"20,520.40",N,
SP000671,顏劭仲,C03200,STALCO,S,小螺絲,25020024,C032-25022002,2025/2/20,2025/5/20,2025/8/7,"39,839.45","39,839.45",USD,"20,416.70",0.00,"20,416.70",N,
SP000671,顏劭仲,C03400,INDEX,S,小螺絲,24090022,148.391,2024/9/25,2025/2/7,2025/2/14,"4,281.80",0.00,USD,"1,432.30","1,478.44",0.00,Y,100%
SP000671,顏劭仲,C03400,INDEX,S,小螺絲,25040006,149.769,2025/4/7,2025/7/9,2025/7/23,"38,543.80","38,543.80",USD,"21,587.40",0.00,"21,587.40",N,
SP000671,顏劭仲,C10900,D&C,S,小螺絲,25020036,D&C-25022601,2025/2/27,2025/5/29,2025/6/12,"76,717.80","76,717.80",USD,"53,086.60",0.00,"53,086.60",N,
SP000671,顏劭仲,C10900,D&C,S,小螺絲,25020036,D&C-25022601,2025/2/27,2025/7/4,2025/7/21,"113,088.22","113,088.22",USD,"78,637.62",0.00,"78,637.62",N,
SP000671,顏劭仲,D00700,HUTTIG,S,小螺絲,24090026,5430088-00,2024/9/30,2025/1/8,2025/1/15,"39,592.08",0.00,USD,"21,652.22","22,372.24",0.00,Y,100%
SP000671,顏劭仲,D00700,HUTTIG,S,小螺絲,24100018,3587056-00,2024/10/23,2025/2/14,2025/2/21,"41,198.40",0.00,USD,"16,344.00","16,253.20",0.00,Y,100%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24110026,64671-1124,2024/11/14,2025/2/28,2025/3/14,"6,366.72","5,090.06",USD,"3,532.80",663.74,"2,869.06",N,19%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24110026,64671-1124,2024/11/14,2025/3/6,2025/3/13,"2,465.28","2,465.28",USD,792.00,0.00,792.00,N,
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24110026,64671-1124,2024/11/14,2025/2/13,2025/2/20,"84,631.68","40,570.34",USD,"41,067.84","19,269.55","21,798.29",N,47%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24110026,64671-1124,2024/11/14,2025/2/13,2025/2/20,"145,406.88",0.00,USD,"76,355.76","78,232.33",0.00,Y,100%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24120012,64687-1224,2024/12/11,2025/4/6,2025/4/20,"4,363.20","4,363.20",USD,"1,915.20",0.00,"1,915.20",N,
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24120013,64686-1224,2024/12/11,2025/3/30,2025/4/4,"30,483.84","28,770.24",USD,"14,758.08",829.71,"13,928.37",N,6%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24120013,64686-1224,2024/12/11,2025/3/6,2025/3/20,"2,141.76","2,141.76",USD,"1,096.32",0.00,"1,096.32",N,
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24120013,64686-1224,2024/12/11,2025/3/30,2025/4/4,"10,904.64",0.00,USD,"5,609.04","5,570.39",0.00,Y,100%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,25010007,64698-0125,2025/1/15,2025/4/18,2025/5/2,"11,266.56","11,266.56",USD,"5,401.92",0.00,"5,401.92",N,
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,25020018,64707-0225,2025/2/8,2025/5/6,2025/5/20,"55,893.12","55,893.12",USD,"28,583.28",0.00,"28,583.28",N,
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,25020018,64707-0225,2025/2/8,2025/6/6,2025/6/20,"4,408.80","4,408.80",USD,"1,944.00",0.00,"1,944.00",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,24090015,4000084831,2024/9/18,2025/3/3,2025/3/10,"2,424.00",0.00,USD,"1,123.20","1,080.28",0.00,Y,100%
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,24100006,4000086695,2024/10/11,2025/6/30,2025/6/30,"12,320.00","12,320.00",USD,"2,700.00",0.00,"2,700.00",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,24100006,4000086695,2024/10/11,2025/6/16,2025/4/28,"34,584.00","34,584.00",USD,"15,807.00",0.00,"15,807.00",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,24100006,4000086695,2024/10/11,2025/1/27,2025/2/3,"24,640.00",0.00,USD,"5,400.00","5,273.08",0.00,Y,100%
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,25010002,4000091727,2025/1/6,2025/6/23,2025/7/7,"1,614.60","1,614.60",USD,459.00,0.00,459.00,N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,25020009,4000093013,2025/2/3,2025/8/4,2025/8/18,"45,278.10","45,278.10",USD,"22,255.70",0.00,"22,255.70",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,25020009,4000093013,2025/2/3,2025/5/26,2025/6/2,"8,937.60","8,937.60",USD,"4,099.20",0.00,"4,099.20",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,25020009,4000093013,2025/2/3,2025/6/23,2025/7/7,"30,820.50","30,820.50",USD,"15,592.50",0.00,"15,592.50",N,
SP000671,顏劭仲,D04001,SIMPSON AB,S,小螺絲,25030017,4000095399,2025/3/12,2025/6/6,2025/6/20,"10,515.80","10,515.80",USD,"4,284.00",0.00,"4,284.00",N,
SP000671,顏劭仲,D04600,BOISE,S,小螺絲,25020033,GS0000009278,2025/2/26,2025/4/4,2025/4/11,"38,085.12",0.00,USD,"22,909.44","21,970.52",938.92,N,96%
SP000671,顏劭仲,D04600,BOISE,S,小螺絲,25020034,GS0000009279,2025/2/26,2025/4/4,2025/4/11,"38,085.12","38,085.12",USD,"22,909.44",0.00,"22,909.44",N,
SP000671,顏劭仲,D09000,BMD,S,小螺絲,24100017,2419174,2024/10/23,2025/1/8,2025/1/15,"33,312.48",0.00,USD,"18,228.48","16,356.30",0.00,Y,100%
SP000671,顏劭仲,D09000,BMD,S,小螺絲,25020019,2422327,2025/2/11,2025/5/25,2025/6/9,"39,538.80","39,538.80",USD,"18,144.00",0.00,"18,144.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24100010,324948,2024/10/18,2025/2/4,2025/2/11,"69,052.80",0.00,USD,"20,015.28","18,627.31",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,O,其他,24100011,324949,2024/10/18,2025/2/18,2025/4/21,623.20,0.00,USD,110.56,59.78,0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24100011,324949,2024/10/18,2025/2/18,2025/2/25,"69,052.80",0.00,USD,"20,015.28","19,063.79",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24100012,324950,2024/10/18,2025/3/4,2025/3/11,"68,680.64",0.00,USD,"20,002.88","19,199.20",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24100013,324947,2024/10/18,2025/1/21,2025/1/28,"69,052.80",0.00,USD,"20,015.28","19,058.80",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24100014,325008,2024/10/22,2025/1/10,2025/1/17,"45,973.68",0.00,USD,"19,393.44","19,928.29",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24100023,325176,2024/10/28,2025/2/28,2025/3/7,"136,178.20",0.00,USD,"14,060.58","12,932.17",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110002,EB0314078庫存單-1,2024/11/4,2025/2/24,2025/3/7,"36,320.00","36,320.00",USD,"9,176.00",0.00,"9,176.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110003,EB0314074庫存單-1,2024/11/4,2025/2/27,2025/3/7,"115,507.20","115,507.20",USD,"35,712.00",0.00,"35,712.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110004,EB0314108庫存單-1,2024/11/4,2025/2/24,2025/3/7,"27,776.00","27,776.00",USD,"6,755.84",0.00,"6,755.84",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110005,EB0314104庫存單-1,2024/11/4,2025/2/24,2025/3/7,"82,368.00","82,368.00",USD,"24,972.48",0.00,"24,972.48",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110007,EB0314148庫存單-1,2024/11/5,2025/2/24,2025/3/7,"6,976.00","6,976.00",USD,"1,609.60",0.00,"1,609.60",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110008,325528,2024/11/7,2025/3/4,2025/3/11,"69,052.80",0.00,USD,"20,015.28","18,635.94",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110009,325529,2024/11/7,2025/3/11,2025/3/18,"68,680.64",0.00,USD,"20,002.88","18,690.53",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110011,325530,2024/11/7,2025/2/26,2025/3/4,"69,131.84",0.00,USD,"19,900.54","18,879.94",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110012,325531,2024/11/7,2025/3/18,2025/3/25,"69,052.80",0.00,USD,"20,015.28","18,727.93",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110013,325532,2024/11/7,2025/3/25,2025/4/1,"69,052.80",0.00,USD,"20,015.28","18,823.04",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,O,其他,24110014,325533,2024/11/7,2025/3/26,2025/3/26,30.00,0.00,USD,2.00,1.62,0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110014,325533,2024/11/7,2025/4/1,2025/4/8,"68,680.64",0.00,USD,"20,002.88","18,373.28",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110015,325534,2024/11/7,2025/4/8,2025/4/15,"69,052.80",0.00,USD,"20,015.28","19,080.81",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110017,325527,2024/11/7,2025/2/26,2025/3/4,"40,176.00",0.00,USD,"11,087.28","10,377.53",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110017,325527,2024/11/7,2025/2/26,2025/3/11,"28,876.80",0.00,USD,"8,928.00","8,304.82",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110018,EB0314074庫存單-2,2024/11/8,2025/3/24,2025/3/31,"144,384.00","144,384.00",USD,"44,640.00",0.00,"44,640.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110019,EB0314104庫存單-2,2024/11/8,2025/3/24,2025/3/31,"104,676.00","104,676.00",USD,"31,735.88",0.00,"31,735.88",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110020,EB0314148庫存單-2,2024/11/8,2025/3/24,2025/3/31,"6,976.00","6,976.00",USD,"1,609.60",0.00,"1,609.60",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110021,EB0314074庫存單-3,2024/11/8,2025/4/25,2025/5/1,"144,384.00","144,384.00",USD,"44,640.00",0.00,"44,640.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110022,EB0314104庫存單-3,2024/11/8,2025/4/25,2025/5/1,"104,676.00","104,676.00",USD,"31,735.88",0.00,"31,735.88",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110023,EB0314148庫存單-3,2024/11/8,2025/4/25,2025/5/1,"6,976.00",0.00,USD,"1,609.60",0.00,0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110025,325592,2024/11/13,2025/3/13,2025/3/20,"142,537.96",0.00,USD,"15,120.94","13,943.25",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24120014,326071,2024/12/12,2025/3/5,2025/3/19,"47,831.76",0.00,USD,"20,567.61","18,973.16",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24120015,326081,2024/12/12,2025/3/5,2025/3/19,"46,516.92",0.00,USD,"19,588.26","20,035.00",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25010001,326334,2025/1/6,2025/5/17,2025/5/31,"128,317.84","128,317.84",USD,"13,736.46",0.00,"13,736.46",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25010005,326446,2025/1/14,2025/4/3,2025/4/18,"47,105.28","47,105.28",USD,"19,967.65",0.00,"19,967.65",N,
