業務人員,,下單客戶,,接單類別,類別名稱,訂單號碼,客戶訂單號碼,接單日,生管交期,訂單交期,訂單金額,未出貨金額,幣別,訂單重量(KG),出貨重量(KG),未出貨重量(KG),結案否,出貨達成率
SP000000,鴻錡興業,D04001,SIMPSON AB,S,小螺絲,24100026,4500338958,2024/10/28,2025/1/20,2025/2/3,"5,914.40","5,914.40",USD,"2,196.80",0.00,"2,196.80",N,
SP000671,顏劭仲,B03500,SUNCO,S,小螺絲,24100025,SP20241028-007,2024/10/28,2025/2/20,2025/2/27,"18,790.94","18,790.94",USD,"5,504.64",0.00,"5,504.64",N,
SP000671,顏劭仲,C00600,PGB,S,小螺絲,24110031,4500062042,2024/11/20,2025/3/20,2025/3/27,"31,514.10","31,514.10",EUR,"15,668.92",0.00,"15,668.92",N,
SP000671,顏劭仲,C00600,PGB,S,小螺絲,24110031,4500062042,2024/11/20,2025/3/7,2025/3/14,"61,615.22","61,615.22",EUR,"30,681.88",0.00,"30,681.88",N,
SP000671,顏劭仲,C00600,PGB,W,華司,24110031,4500062042,2024/11/20,2025/3/7,2025/3/14,"1,611.00","1,611.00",EUR,410.00,0.00,410.00,N,
SP000671,顏劭仲,C01900,REYHER,S,小螺絲,24070007,3841753-457,2024/7/9,2024/12/27,2025/1/24,"7,615.00","7,615.00",EUR,"4,166.00",0.00,"4,166.00",N,
SP000671,顏劭仲,C01900,REYHER,S,小螺絲,24100003,3864311-457,2024/10/11,2025/2/24,2025/3/26,"6,550.00","6,550.00",EUR,"3,723.00",0.00,"3,723.00",N,
SP000671,顏劭仲,C03400,INDEX,S,小螺絲,24090022,148.391,2024/9/25,2025/2/7,2025/2/14,"4,281.80","4,281.80",USD,"1,432.30",0.00,"1,432.30",N,
SP000671,顏劭仲,D00700,HUTTIG,S,小螺絲,24090026,5430088,2024/9/30,2025/1/8,2025/1/15,"39,592.08","39,592.08",USD,"21,652.22",0.00,"21,652.22",N,
SP000671,顏劭仲,D00700,HUTTIG,S,小螺絲,24100018,3587056-00,2024/10/23,2025/2/14,2025/2/21,"41,198.40","41,198.40",USD,"16,344.00",0.00,"16,344.00",N,
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24110026,64671-1124,2024/11/14,2025/2/13,2025/2/20,"230,038.56","230,038.56",USD,"117,423.60",0.00,"117,423.60",N,
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24110026,64671-1124,2024/11/14,2025/3/6,2025/3/13,"2,465.28","2,465.28",USD,792.00,0.00,792.00,N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,24090015,4000084831,2024/9/18,2025/3/3,2025/3/10,"2,424.00","2,424.00",USD,"1,123.20",0.00,"1,123.20",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,24100006,4000086695,2024/10/11,2025/3/24,2025/3/31,"12,320.00","12,320.00",USD,"2,700.00",0.00,"2,700.00",N,
