業務人員,,下單客戶,,接單類別,類別名稱,訂單號碼,客戶訂單號碼,接單日,生管交期,訂單交期,訂單金額,未出貨金額,幣別,訂單重量(KG),出貨重量(KG),未出貨重量(KG),結案否,出貨達成率
SP000000,鴻錡興業,D04001,SIMPSON AB,S,小螺絲,24100026,4500338958,2024/10/28,2025/1/20,2025/2/3,"5,914.40",0.00,USD,"2,196.80","2,163.00",0.00,Y,100%
SP000671,顏劭仲,A16600,惠旺工業,S,小螺絲,25060005,5034600,2025/6/5,2025/8/25,2025/9/7,"559,970.00","559,970.00",NTD,"3,705.00",0.00,"3,705.00",N,
SP000671,顏劭仲,B03500,SUNCO,S,小螺絲,24100025,SP20241028-007,2024/10/28,2025/2/20,2025/2/27,"18,790.94",0.00,USD,"5,504.64","5,675.94",0.00,Y,100%
SP000671,顏劭仲,B03500,SUNCO,S,小螺絲,25020001,SP20250127-001KK,2025/2/3,2025/7/11,2025/7/25,"82,720.00","82,720.00",USD,"25,120.00",0.00,"25,120.00",N,
SP000671,顏劭仲,B03500,SUNCO,S,小螺絲,25020027,SP20250219-002KK,2025/2/21,2025/5/29,2025/6/13,"4,336.00","4,336.00",USD,"1,208.00",0.00,"1,208.00",N,
SP000671,顏劭仲,B03500,SUNCO,S,小螺絲,25020035,SP20250227-005KK,2025/2/27,2025/5/29,2025/6/13,"1,084.00","1,084.00",USD,302.00,0.00,302.00,N,
SP000671,顏劭仲,B03500,SUNCO,S,小螺絲,25030019,SP20250318-006KK,2025/3/18,2025/6/20,2025/7/4,"5,484.00","5,484.00",USD,"1,452.00",0.00,"1,452.00",N,
SP000671,顏劭仲,C00600,PGB,W,華司,24110031,4500062042,2024/11/20,2025/3/7,2025/3/14,"1,611.00",0.00,EUR,410.00,478.22,0.00,Y,100%
SP000671,顏劭仲,C00600,PGB,S,小螺絲,24110031,4500062042,2024/11/20,2025/3/20,2025/3/27,"31,514.10",0.00,EUR,"15,668.92","15,917.68",0.00,Y,100%
SP000671,顏劭仲,C00600,PGB,S,小螺絲,24110031,4500062042,2024/11/20,2025/3/7,2025/3/14,"61,615.22",0.00,EUR,"30,681.88","31,263.86",0.00,Y,100%
SP000671,顏劭仲,C00600,PGB,S,小螺絲,25010003,4500063052,2025/1/8,2025/4/15,2025/4/29,"143,779.22",0.00,EUR,"79,798.57","80,691.40",0.00,Y,100%
SP000671,顏劭仲,C00600,PGB,S,小螺絲,25020006,4500063491,2025/2/3,2025/5/10,2025/5/24,"2,292.00","2,292.00",EUR,"1,135.00",0.00,"1,135.00",N,
SP000671,顏劭仲,C00600,PGB,S,小螺絲,25020006,4500063491,2025/2/3,2025/5/10,2025/5/24,"4,001.00",0.00,EUR,"2,030.00","2,105.20",0.00,Y,100%
SP000671,顏劭仲,C00600,PGB,S,小螺絲,25020006,4500063491,2025/2/3,2025/4/25,2025/5/9,"17,588.63",0.00,EUR,"9,924.52","10,079.20",0.00,Y,100%
SP000671,顏劭仲,C00600,PGB,S,小螺絲,25020025,4500064190,2025/2/20,2025/5/20,2025/5/28,"19,595.29",0.00,EUR,"10,060.99","10,131.66",0.00,Y,100%
SP000671,顏劭仲,C00600,PGB,S,小螺絲,25040012,4500065591,2025/4/11,2025/7/31,2025/8/14,"2,350.08","2,350.08",EUR,"1,209.60",0.00,"1,209.60",N,
SP000671,顏劭仲,C00600,PGB,S,小螺絲,25040023,4500065888,2025/4/24,2025/8/9,2025/8/23,"5,096.00","5,096.00",EUR,"3,561.00",0.00,"3,561.00",N,
SP000671,顏劭仲,C00600,PGB,S,小螺絲,25040025,4500065889,2025/4/25,2025/7/30,2025/8/13,"73,167.95","73,167.95",EUR,"41,534.22",0.00,"41,534.22",N,
SP000671,顏劭仲,C00600,PGB,S,小螺絲,25050027,4500066875,2025/5/28,2025/9/10,2025/9/24,981.12,981.12,EUR,291.84,0.00,291.84,N,
SP000671,顏劭仲,C00600,PGB,S,小螺絲,25060006,4500067095,2025/6/6,2025/9/10,2025/9/24,"80,258.39","80,258.39",EUR,"43,089.47",0.00,"43,089.47",N,
SP000671,顏劭仲,C01900,REYHER,S,小螺絲,24070007,3841753-457,2024/7/9,2024/12/27,2025/1/24,"7,615.00",0.00,EUR,"4,166.00","4,323.10",0.00,Y,100%
SP000671,顏劭仲,C01900,REYHER,S,小螺絲,24100003,3864311-457,2024/10/11,2025/2/24,2025/3/26,"6,550.00",0.00,EUR,"3,723.00","3,899.39",0.00,Y,100%
SP000671,顏劭仲,C01900,REYHER,S,小螺絲,24100021,3867707-457,2024/10/25,2025/7/10,2025/8/7,"41,030.08","41,030.08",EUR,"21,604.20",0.00,"21,604.20",N,
SP000671,顏劭仲,C01900,REYHER,S,小螺絲,24120019,3881239-669,2024/12/19,2025/3/7,2025/4/3,210.00,0.00,EUR,93.00,100.80,0.00,Y,100%
SP000671,顏劭仲,C01900,REYHER,S,小螺絲,25020013,4500005468,2025/2/4,2025/4/25,2025/5/23,"2,479.00",0.00,EUR,951.30,954.04,0.00,Y,100%
SP000671,顏劭仲,C01900,REYHER,S,小螺絲,25040010,4500020446,2025/4/9,2025/6/27,2025/7/11,"75,221.56","75,221.56",EUR,"37,328.92",0.00,"37,328.92",N,
SP000671,顏劭仲,C01900,REYHER,S,小螺絲,25040017,4500023730,2025/4/17,2025/7/25,2025/8/25,"7,346.60","7,346.60",EUR,"2,602.00",0.00,"2,602.00",N,
SP000671,顏劭仲,C01900,REYHER,S,小螺絲,25040019,4500024275,2025/4/18,2025/6/22,2025/7/11,855.00,855.00,EUR,520.00,0.00,520.00,N,
SP000671,顏劭仲,C01900,REYHER,S,小螺絲,25040035,4500026365,2025/4/30,2025/9/15,2025/10/15,540.00,540.00,EUR,349.50,0.00,349.50,N,
SP000671,顏劭仲,C03200,STALCO,S,小螺絲,25020023,C032-25022001,2025/2/20,2025/5/20,2025/5/29,"40,108.49",0.00,USD,"20,520.40","19,601.16",0.00,Y,100%
SP000671,顏劭仲,C03200,STALCO,S,小螺絲,25020024,C032-25022002,2025/2/20,2025/7/24,2025/8/7,"39,839.45","39,839.45",USD,"20,416.70",0.00,"20,416.70",N,
SP000671,顏劭仲,C03400,INDEX,S,小螺絲,24090022,148.391,2024/9/25,2025/2/7,2025/2/14,"4,281.80",0.00,USD,"1,432.30","1,478.44",0.00,Y,100%
SP000671,顏劭仲,C03400,INDEX,S,小螺絲,25040006,149.769,2025/4/7,2025/7/9,2025/7/23,"38,543.80","38,543.80",USD,"21,587.40",0.00,"21,587.40",N,
